kind,source_qc_status,measurement_id,assigned,estimated,residual_rfu,recovery_pct,dilution_factor,criterion_result
calibration,pending,cal1-prep1,1.0,0.9900000000000005,-0.9999999999999432,,1,calibration_only
calibration,pending,cal1-prep2,1.0,1.0000000000000007,5.684341886080802e-14,,1,calibration_only
calibration,pending,cal1-prep3,1.0,1.0100000000000007,1.0000000000000568,,1,calibration_only
calibration,pending,cal3-prep1,3.0,2.9900000000000007,-0.9999999999999432,,1,calibration_only
calibration,pending,cal3-prep2,3.0,3.0000000000000004,5.684341886080802e-14,,1,calibration_only
calibration,pending,cal3-prep3,3.0,3.0100000000000007,1.0000000000000568,,1,calibration_only
calibration,pending,cal6-prep1,6.0,5.99,-1.0,,1,calibration_only
calibration,pending,cal6-prep2,6.0,6.0,0.0,,1,calibration_only
calibration,pending,cal6-prep3,6.0,6.01,1.0,,1,calibration_only
withheld_check,pending,check-d10-prep1-read1,50.0,49.900000000000006,,99.80000000000001,10.0,within_limit
withheld_check,pending,check-d10-prep1-read2,50.0,49.900000000000006,,99.80000000000001,10.0,within_limit
withheld_check,pending,check-d10-prep2-read1,50.0,50.10000000000001,,100.20000000000002,10.0,within_limit
withheld_check,pending,check-d10-prep2-read2,50.0,50.10000000000001,,100.20000000000002,10.0,within_limit
withheld_check,pending,check-d20-prep1-read1,50.0,49.80000000000001,,99.60000000000002,20.0,within_limit
withheld_check,pending,check-d20-prep1-read2,50.0,49.80000000000001,,99.60000000000002,20.0,within_limit
withheld_check,pending,check-d20-prep2-read1,50.0,50.20000000000002,,100.40000000000003,20.0,within_limit
withheld_check,pending,check-d20-prep2-read2,50.0,50.20000000000002,,100.40000000000003,20.0,within_limit
